variant,condition,margin_first_prefixed,margin_mean_prefixed,belief_flip,belief_flip_mean,greedy_has_gt,greedy_has_wrong,greedy_wrong_only,greedy_refusal,lp_first_wrong_prefixed,lp_first_gt_prefixed,n
base,ngram_matched_ctrlsys,-3.535595676675439,-2.59578748442058,0.8,0.875,0.05,0.425,0.425,0.175,-7.497497884556651,-11.03309356123209,40
base,control_nolicense,1.4167308792471887,1.2234045828662867,0.175,0.375,0.1,0.05,0.05,0.0,-10.922883051633836,-9.506152172386646,40
base,pr_k0_plain_nolicense,1.4324678234755992,1.241465678602475,0.15,0.35,0.1,0.05,0.05,0.0,-10.824680185317993,-9.392212361842393,40
base,pr_k5_plain_nolicense,-3.3587233362719418,-2.5179426057050387,0.775,0.9,0.025,0.725,0.725,0.0,-6.589751180447638,-9.94847451671958,40
base,pr_k5_confident_nolicense,-3.5894042856059967,-2.5986722272781795,0.775,0.9,0.0,0.725,0.725,0.0,-6.43247397178784,-10.021878257393837,40
base,auth_trust_nolicense,-2.965313804335892,-2.3751395598540097,0.7,0.875,0.075,0.6,0.575,0.0,-6.831805130653083,-9.797118934988976,40
base,user_reports_k1,-3.031869384460151,-2.449646162590985,0.7,0.85,0.025,0.4,0.375,0.15,-6.876074800081551,-9.907944184541702,40
base,user_reports_k5,-2.6906669571995736,-2.1525711984942744,0.7,0.825,0.025,0.25,0.225,0.2,-6.845784065127373,-9.536451022326947,40
instruct,control,2.201989726722684,2.1782332118350203,0.25,0.325,0.025,0.05,0.025,0.025,-14.867088758945465,-12.66509903222278,40
instruct,pr_k0_plain,2.4028320327417534,1.870941532399333,0.25,0.35,0.025,0.025,0.025,0.55,-13.805440533161164,-11.40260850041941,40
instruct,pr_k5_filler,2.4255860731058876,1.677716021354393,0.225,0.425,0.05,0.05,0.05,0.275,-13.21844157576561,-10.792855502659723,40
instruct,pr_k5_correct,7.198547304925159,5.343705468305617,0.05,0.075,0.325,0.0,0.0,0.25,-14.630446088314056,-7.431898783388897,40
instruct,pr_k1_plain,0.6984057284016671,0.09716113220920478,0.4,0.55,0.075,0.1,0.1,0.275,-10.1804205827415,-9.482014854339832,40
instruct,pr_k2_plain,-0.3482641565829908,-0.6640596210111178,0.475,0.675,0.1,0.125,0.125,0.3,-9.511128666996957,-9.859392823579947,40
instruct,pr_k3_plain,-0.1975463546705214,-0.5374070685856195,0.45,0.625,0.025,0.175,0.175,0.35,-9.632850334048271,-9.830396688718793,40
instruct,pr_k5_plain,-0.42703254854704936,-0.853341464154352,0.425,0.65,0.05,0.1,0.1,0.4,-9.82152672111988,-10.24855926966693,40
instruct,pr_k8_plain,-1.0584962248796956,-1.1212714249514155,0.425,0.625,0.025,0.1,0.1,0.575,-9.637381273508073,-10.695877498387768,40
instruct,pr_k5_confident,-2.0348144146748384,-1.9665274497924272,0.6,0.775,0.0,0.35,0.35,0.325,-8.051627328665926,-10.086441743340766,40
instruct,pr_k5_uncertain,-1.0188476576837275,-1.1545783331299337,0.45,0.7,0.1,0.225,0.225,0.15,-9.315552785992622,-10.33440044367635,40
instruct,pr_k5_diverse,-0.7225829682247422,-1.1989515017792154,0.5,0.7,0.05,0.025,0.025,0.55,-11.746929265372454,-12.469512233597197,40
instruct,pr_k5_da,-1.5423340156453378,-1.6687101980953163,0.5,0.725,0.075,0.1,0.1,0.425,-9.319125416874886,-10.861459432520224,40
instruct,pr_qd,-0.1758620074018836,-0.37100487822782535,0.4,0.625,0.075,0.05,0.05,0.325,-9.583000186085702,-9.758862193487584,40
instruct,pr_k5_plain_warnsys,0.654199310606782,0.17093057819109447,0.4,0.55,0.025,0.075,0.05,0.0,-11.723342448472977,-11.069143137866195,40
instruct,pr_k5_plain_nosys,0.1120115593279479,-0.38162122658165,0.375,0.6,0.05,0.075,0.075,0.025,-11.060686814785004,-10.948675255457056,40
instruct,pu_k1_history,0.6825194955396,0.03829513753929745,0.425,0.55,0.025,0.075,0.075,0.0,-11.40207971483469,-10.71956021929509,40
instruct,pu_k5_history,-0.48448760200290053,-1.0307418358267542,0.5,0.65,0.0,0.25,0.25,0.0,-11.793311617523432,-12.277799219526333,40
instruct,pu_k5_history_ctrlsys,-0.9845215357967391,-1.3301282995274037,0.575,0.675,0.025,0.25,0.25,0.0,-9.913863993249834,-10.898385529046573,40
instruct,auth_trust,-3.0881699164274323,-2.4797928139150414,0.65,0.8,0.025,0.3,0.275,0.025,-9.500967190706433,-12.589137107133865,40
instruct,auth_bias,-3.0431276109069585,-3.1592933739196853,0.675,0.85,0.0,0.15,0.15,0.0,-10.816155279800295,-13.859282890707254,40
instruct,auth_bias_ctrlsys,-4.004815458459779,-3.655699378293483,0.775,0.9,0.0,0.25,0.25,0.2,-9.207055245758966,-13.211870704218745,40
instruct,ngram_orig,-2.1818602952640505,-2.281070078437021,0.6,0.825,0.0,0.1,0.1,0.0,-12.777670349180699,-14.95953064444475,40
instruct,ngram_matched,-2.42768555587827,-2.273115465222795,0.625,0.825,0.0,0.2,0.2,0.0,-12.04202288761735,-14.46970844349562,40
instruct,ngram_matched_ctrlsys,-2.3658203794329893,-2.157629931748798,0.55,0.825,0.0,0.3,0.3,0.15,-12.089080259948968,-14.454900639381957,40
instruct_dpo,control,2.220239230991615,2.072217229122897,0.25,0.325,0.05,0.025,0.025,0.0,-14.116953313350677,-11.896714082359063,40
instruct_dpo,pr_k0_plain,2.744244341556578,2.0066075182425576,0.225,0.35,0.025,0.025,0.025,0.375,-13.065088784694671,-10.320844443138094,40
instruct_dpo,pr_k5_filler,2.471582071494231,1.7409892733196675,0.225,0.375,0.075,0.05,0.05,0.15,-12.717036271095276,-10.245454199601046,40
instruct_dpo,pr_k5_correct,6.041101107065333,4.636063462781383,0.075,0.1,0.325,0.0,0.0,0.15,-13.87551383972168,-7.834412732656347,40
instruct_dpo,pr_k1_plain,0.8063817124876096,0.29638634812060227,0.375,0.55,0.05,0.025,0.025,0.25,-10.06578188240528,-9.259400169917672,40
instruct_dpo,pr_k2_plain,0.23617756480362004,-0.14155504410231462,0.4,0.6,0.075,0.0,0.0,0.175,-9.756337082386016,-9.520159517582396,40
instruct_dpo,pr_k3_plain,0.36679688990516296,0.01673844756020717,0.375,0.55,0.05,0.075,0.075,0.325,-10.026346576213836,-9.659549686308674,40
instruct_dpo,pr_k5_plain,0.1940429352243882,-0.22578714603971672,0.35,0.55,0.075,0.1,0.1,0.425,-10.233977615833282,-10.039934680608894,40
instruct_dpo,pr_k8_plain,-0.49721681326379896,-0.507516862372806,0.45,0.6,0.025,0.125,0.125,0.6,-9.910463592410087,-10.407680405673887,40
instruct_dpo,pr_k5_confident,-0.7171386863897169,-1.0431532287929843,0.475,0.675,0.0,0.175,0.175,0.55,-8.827190323546528,-9.544329009936245,40
instruct_dpo,pr_k5_uncertain,-0.1291015269151103,-0.38575125436311514,0.45,0.575,0.125,0.075,0.075,0.1,-9.769186736643315,-9.898288263558424,40
instruct_dpo,pr_k5_diverse,-0.5050781632591679,-1.018993982887436,0.5,0.675,0.025,0.0,0.0,0.475,-11.210587645322084,-11.715665808581253,40
instruct_dpo,pr_k5_da,-0.926562527513488,-1.1130827822308662,0.45,0.65,0.05,0.05,0.05,0.375,-9.55164918601513,-10.478211713528617,40
instruct_dpo,pr_qd,0.6917449318159925,0.3209040487580562,0.4,0.625,0.075,0.05,0.05,0.275,-9.810688781738282,-9.118943849922289,40
instruct_dpo,pr_k5_plain_warnsys,0.9807128698110319,0.4785395252339327,0.325,0.55,0.025,0.025,0.025,0.025,-11.739183831214905,-10.758470961403873,40
instruct_dpo,pr_k5_plain_nosys,0.5344238467546802,0.17109308853426883,0.375,0.55,0.025,0.05,0.05,0.0,-11.24504226744175,-10.71061842068707,40
instruct_dpo,pu_k1_history,0.7651244286680594,0.09452062311176561,0.375,0.55,0.025,0.075,0.075,0.0,-10.49744958281517,-9.73232515414711,40
instruct_dpo,pu_k5_history,-0.3842037689842982,-0.7752963509489821,0.55,0.65,0.05,0.15,0.125,0.0,-10.796095299720765,-11.180299068705063,40
instruct_dpo,pu_k5_history_ctrlsys,-0.6356932297338972,-0.9631595973835216,0.55,0.65,0.05,0.15,0.125,0.0,-9.764130211248993,-10.39982344098289,40
instruct_dpo,auth_trust,-2.664313909894554,-2.1646128589627223,0.625,0.8,0.075,0.2,0.15,0.025,-9.47132453721133,-12.135638447105885,40
instruct_dpo,auth_bias,-2.3029662908986213,-2.4931573147315413,0.575,0.775,0.025,0.1,0.1,0.0,-10.779070618748666,-13.082036909647286,40
instruct_dpo,auth_bias_ctrlsys,-3.3209042681613936,-3.2073066597526285,0.725,0.9,0.0,0.3,0.3,0.125,-9.336631522118115,-12.657535790279507,40
instruct_dpo,ngram_orig,-1.8909667010535487,-1.8629505831186655,0.6,0.75,0.0,0.175,0.175,0.0,-12.376164365187288,-14.267131066240836,40
instruct_dpo,ngram_matched,-2.4020567943873177,-2.112021372280352,0.625,0.8,0.025,0.125,0.125,0.0,-11.43997851461172,-13.842035308999039,40
instruct_dpo,ngram_matched_ctrlsys,-2.218164116362459,-2.004409555403927,0.6,0.775,0.0,0.375,0.375,0.05,-11.889699983410537,-14.107864099772996,40
instruct_sft,control,1.7950439632404596,1.2641464518908503,0.2,0.375,0.075,0.05,0.05,0.0,-11.208077192306519,-9.413033229066059,40
instruct_sft,pr_k0_plain,1.7427002134732903,1.2465535880411536,0.2,0.325,0.05,0.075,0.075,0.325,-11.4469743847847,-9.704274171311408,40
instruct_sft,pr_k5_filler,1.5393554234411568,1.11086317193601,0.25,0.425,0.025,0.05,0.05,0.15,-11.519156050682067,-9.97980062724091,40
instruct_sft,pr_k5_correct,6.196435626130551,4.40078016907089,0.05,0.025,0.625,0.025,0.025,0.1,-12.743433547019958,-6.546997920889408,40
instruct_sft,pr_k1_plain,-1.8372667539864778,-1.7299587565716465,0.575,0.75,0.1,0.175,0.175,0.2,-7.827531348913908,-9.664798102900386,40
instruct_sft,pr_k2_plain,-2.4763955030590297,-2.2323686666983478,0.6,0.85,0.0,0.375,0.375,0.175,-7.033597038313746,-9.509992541372776,40
instruct_sft,pr_k3_plain,-2.5417846493422984,-2.2246700539546302,0.625,0.85,0.0,0.375,0.375,0.225,-6.868246658146381,-9.41003130748868,40
instruct_sft,pr_k5_plain,-2.8469726823270323,-2.4039987142592283,0.65,0.85,0.0,0.425,0.425,0.325,-6.8645553268492225,-9.711528009176254,40
instruct_sft,pr_k8_plain,-3.099707010388374,-2.5470976485291517,0.675,0.85,0.0,0.425,0.425,0.25,-6.942579968273639,-10.042286978662014,40
instruct_sft,pr_k5_confident,-3.786914105946198,-2.8842494226665036,0.75,0.975,0.0,0.55,0.55,0.25,-5.88731616861187,-9.674230274558067,40
instruct_sft,pr_k5_uncertain,-2.5687500154599547,-2.23017086679395,0.675,0.85,0.05,0.5,0.5,0.375,-6.729808948375284,-9.298558963835239,40
instruct_sft,pr_k5_diverse,-2.5240478694438933,-2.2732097576731007,0.6,0.8,0.0,0.15,0.15,0.5,-9.026077268272639,-11.550125137716531,40
instruct_sft,pr_k5_da,-3.403784218803048,-2.8144055425658574,0.7,0.875,0.025,0.325,0.325,0.275,-7.035450011119247,-10.439234229922295,40
instruct_sft,pr_qd,-1.3760307164862753,-1.3043573124668684,0.475,0.725,0.025,0.325,0.325,0.35,-7.556962011754512,-8.932992728240787,40
instruct_sft,pr_k5_plain_warnsys,-2.319177197664976,-1.9706760267172907,0.6,0.825,0.05,0.25,0.25,0.0,-7.01515131816268,-9.334328515827655,40
instruct_sft,pr_k5_plain_nosys,-2.674584967456758,-2.3062893757135354,0.7,0.85,0.025,0.3,0.3,0.0,-7.176768971420825,-9.851353938877583,40
instruct_sft,pu_k1_history,-2.16352545581758,-1.7935657109878278,0.6,0.8,0.025,0.4,0.4,0.0,-7.274176125600934,-9.437701581418514,40
instruct_sft,pu_k5_history,-3.4473532161675395,-2.7045416093595005,0.7,0.875,0.05,0.575,0.575,0.0,-7.0388812907971445,-10.486234506964683,40
instruct_sft,pu_k5_history_ctrlsys,-3.4145263505168257,-2.779647492467433,0.725,0.9,0.0,0.625,0.625,0.0,-7.031882630567997,-10.446408981084824,40
instruct_sft,auth_trust,-3.1094043381512164,-2.319069514610973,0.725,0.9,0.025,0.3,0.275,0.0,-6.791584243625403,-9.90098858177662,40
instruct_sft,auth_bias,-2.5882080793380737,-2.2474042068976514,0.725,0.9,0.025,0.25,0.25,0.0,-7.153124178946018,-9.741332258284093,40
instruct_sft,auth_bias_ctrlsys,-2.9551490266807376,-2.5339961900409187,0.75,0.95,0.025,0.375,0.375,0.0,-6.7359338729642335,-9.691082899644972,40
instruct_sft,ngram_orig,-3.4152344785630704,-2.556056812393818,0.625,0.875,0.0,0.325,0.325,0.0,-7.916198264807463,-11.331432743370533,40
instruct_sft,ngram_matched,-3.4379393950104715,-2.587889515563844,0.725,0.925,0.0,0.575,0.575,0.0,-7.741650058329105,-11.179589453339577,40
instruct_sft,ngram_matched_ctrlsys,-3.531152180209756,-2.6729806747122273,0.7,0.925,0.0,0.45,0.45,0.0,-8.02492566667497,-11.556077846884728,40
