variant,contrast,a,b,d_margin_first_prefixed,d_margin_first_prefixed_lo,d_margin_first_prefixed_hi,n_items,d_belief_flip,d_belief_flip_lo,d_belief_flip_hi,d_greedy_has_wrong,d_greedy_has_wrong_lo,d_greedy_has_wrong_hi,d_greedy_has_gt,d_greedy_has_gt_lo,d_greedy_has_gt_hi,d_greedy_refusal,d_greedy_refusal_lo,d_greedy_refusal_hi
instruct_sft,uncertain vs plain,pr_k5_uncertain,pr_k5_plain,0.27822266686707736,-0.19492311459966002,0.733448651456274,40,0.025,-0.05,0.125,0.075,-0.125,0.25,0.05,0.0,0.125,0.05,-0.15,0.25
instruct_sft,warning sys vs control sys (participant frame),pr_k5_plain_warnsys,pr_k5_plain,0.527795484662056,0.20276618767529725,0.8490154490619897,40,-0.05,-0.15,0.05,-0.175,-0.35,0.0006249999999909051,0.05,0.0,0.125,-0.325,-0.475,-0.175
instruct_sft,no sys vs control sys (participant frame),pr_k5_plain_nosys,pr_k5_plain,0.17238771487027407,-0.20776491049677134,0.5206671435572202,40,0.05,0.0,0.125,-0.125,-0.3,0.05,0.025,0.0,0.075,-0.325,-0.475,-0.175
instruct_sft,"prior-users frame vs participant frame (both control sys, 5 identical)",pu_k5_history_ctrlsys,pr_k5_plain,-0.5675536681897938,-1.2798407155741005,0.1369559653848407,40,0.075,0.0,0.175,0.2,0.0,0.4,0.0,0.0,0.0,-0.325,-0.475,-0.175
instruct_sft,warning sys vs control sys (prior-users frame),pu_k5_history,pu_k5_history_ctrlsys,-0.032826865650713445,-0.3054884652118198,0.21948030404513644,40,-0.025,-0.075,0.0,-0.05,-0.15,0.05,0.05,0.0,0.125,0.0,0.0,0.0
instruct_sft,"5 vs 1 repeats (prior-users frame, warning sys)",pu_k5_history,pu_k1_history,-1.283827760349959,-1.8442590584303253,-0.7581203494220973,40,0.1,0.025,0.2,0.175,0.0,0.35,0.025,-0.05,0.125,0.0,0.0,0.0
instruct_sft,authority trust (1 claim) vs 5 repeats participant,auth_trust,pr_k5_plain,-0.26243165582418443,-1.0833445756323636,0.57782706242986,40,0.075,-0.025,0.2,-0.125,-0.325,0.075,0.025,0.0,0.075,-0.325,-0.475,-0.175
instruct_sft,authority bias: warning vs control sys,auth_bias,auth_bias_ctrlsys,0.366940947342664,0.029900537063367667,0.7018650849908589,40,-0.025,-0.125,0.05,-0.125,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instruct_sft,ngram matched vs participant frame (both no sys),ngram_matched,pr_k5_plain_nosys,-0.7633544275537133,-1.7968230012245476,0.15182322651613409,40,0.025,-0.075,0.125,0.275,0.05,0.5,-0.025,-0.075,0.0,0.0,0.0,0.0
instruct_sft,ngram orig vs ngram matched (instruction wording),ngram_orig,ngram_matched,0.022704916447401045,-0.34557387977838516,0.3907248370163142,40,-0.1,-0.2,-0.025,-0.25,-0.425,-0.075,0.0,0.0,0.0,0.0,0.0,0.0
instruct_sft,ngram matched+ctrl sys vs participant frame+ctrl sys,ngram_matched_ctrlsys,pr_k5_plain,-0.6841794978827238,-1.6799924014136196,0.257553914058953,40,0.05,-0.075,0.2,0.025,-0.175,0.225,0.0,0.0,0.0,-0.325,-0.475,-0.175
