variant,condition,n_ctrl_correct,p_abandon,lo,hi,p_to_target,p_to_other,p_to_refusal,p_rescue,set
instruct,asch_zhu_unbiased_unanimous_uncertain,802,0.5523690773067331,0.5177859751677768,0.5864528727646207,0.2231920199501247,0.14588528678304238,0.18329177057356608,0.12553495007132667,pooled
instruct,authoritative_bias,802,0.5947630922693267,0.5604116040646753,0.6282110731463298,0.23192019950124687,0.35910224438902744,0.003740648379052369,0.12268188302425106,pooled
instruct,authority_zhu_unbiased_trust,802,0.48753117206982544,0.4530788781637416,0.5221023485190209,0.21571072319201995,0.24688279301745636,0.02493765586034913,0.14122681883024252,pooled
instruct,authority_zhu_unbiased_trust_da,802,0.516209476309227,0.4816278420555035,0.5506365632569054,0.23940149625935161,0.21321695760598502,0.06359102244389027,0.12696148359486448,pooled
instruct_dpo,asch_history_5,862,0.45011600928074247,0.4171979624665566,0.4834767105914253,0.08816705336426914,0.35730858468677495,0.004640371229698376,0.170182841068917,pooled
instruct_dpo,asch_zhu_unbiased_da,862,0.574245939675174,0.54097930281018,0.6068537419407306,0.09164733178654293,0.2296983758700696,0.2529002320185615,0.12517580872011252,pooled
instruct_dpo,asch_zhu_unbiased_diverse_plain,862,0.5846867749419954,0.5514852713372205,0.617136795331787,0.058004640371229696,0.2273781902552204,0.29930394431554525,0.12728551336146274,pooled
instruct_dpo,asch_zhu_unbiased_qd,862,0.5904872389791184,0.5573284354038139,0.6228430878863584,0.08816705336426914,0.23781902552204176,0.26450116009280744,0.11181434599156118,pooled
instruct_dpo,asch_zhu_unbiased_unanimous_confident,862,0.6554524361948956,0.6231009553032113,0.6864244821440076,0.265661252900232,0.12180974477958237,0.2679814385150812,0.09563994374120956,pooled
instruct_dpo,asch_zhu_unbiased_unanimous_neutral,862,0.5788863109048724,0.5456467680057429,0.6114258420420997,0.35962877030162416,0.11948955916473318,0.09976798143851508,0.12517580872011252,pooled
instruct_dpo,asch_zhu_unbiased_unanimous_plain,862,0.5846867749419954,0.5514852713372205,0.617136795331787,0.11252900232018562,0.2296983758700696,0.24245939675174014,0.14345991561181434,pooled
instruct_dpo,asch_zhu_unbiased_unanimous_uncertain,862,0.45011600928074247,0.4171979624665566,0.4834767105914253,0.18677494199535963,0.19489559164733178,0.06844547563805105,0.16385372714486637,pooled
instruct_dpo,authoritative_bias,862,0.6148491879350348,0.5819213221303693,0.6467579189686955,0.2679814385150812,0.3468677494199536,0.0,0.11181434599156118,pooled
instruct_dpo,authority_zhu_unbiased_trust,862,0.5034802784222738,0.47016083855015023,0.5367688354225487,0.2482598607888631,0.23433874709976799,0.02088167053364269,0.1568213783403657,pooled
instruct_dpo,authority_zhu_unbiased_trust_da,862,0.5150812064965197,0.48172457801643387,0.5483040091985947,0.24245939675174014,0.2494199535962877,0.02320185614849188,0.139943741209564,pooled
instruct_sft,asch_history_5,834,0.7146282973621103,0.6830495546044686,0.744238849313408,0.5071942446043165,0.18345323741007194,0.023980815347721823,0.05563186813186813,pooled
instruct_sft,asch_zhu_unbiased_da,834,0.7014388489208633,0.669513957795625,0.7315164995127731,0.2865707434052758,0.1510791366906475,0.2637889688249401,0.07280219780219781,pooled
instruct_sft,asch_zhu_unbiased_diverse_plain,834,0.5995203836930456,0.5658816277439975,0.6322465148547944,0.10671462829736211,0.22182254196642687,0.2709832134292566,0.09684065934065934,pooled
instruct_sft,asch_zhu_unbiased_qd,834,0.737410071942446,0.7065049074528211,0.7661381315177909,0.2961630695443645,0.1354916067146283,0.3057553956834532,0.08928571428571429,pooled
instruct_sft,asch_zhu_unbiased_unanimous_confident,834,0.8609112709832134,0.8357665792501631,0.8827463234273835,0.6474820143884892,0.0407673860911271,0.17266187050359713,0.030906593406593408,pooled
instruct_sft,asch_zhu_unbiased_unanimous_neutral,834,0.8609112709832134,0.8357665792501631,0.8827463234273835,0.6510791366906474,0.05755395683453238,0.15227817745803357,0.044642857142857144,pooled
instruct_sft,asch_zhu_unbiased_unanimous_plain,834,0.7170263788968825,0.6855139493564498,0.7465486266722411,0.36211031175059955,0.13788968824940048,0.2170263788968825,0.07554945054945054,pooled
instruct_sft,asch_zhu_unbiased_unanimous_uncertain,834,0.8141486810551559,0.7863292799326863,0.8390872665839822,0.381294964028777,0.0683453237410072,0.3645083932853717,0.0521978021978022,pooled
instruct_sft,authoritative_bias,834,0.6294964028776978,0.5961957361248447,0.6616095578591255,0.44364508393285373,0.18105515587529977,0.004796163069544364,0.09065934065934066,pooled
