variant,conformity_profile,count,profile_label
instruct_dpo,011011,11,first_at_T=0.2
instruct_dpo,101100,10,first_at_T=0.0
instruct_dpo,110011,10,first_at_T=0.0
instruct_dpo,010010,10,first_at_T=0.2
instruct_dpo,101110,10,first_at_T=0.0
instruct_dpo,001001,9,first_at_T=0.4
instruct_dpo,110100,9,first_at_T=0.0
instruct_dpo,011001,8,first_at_T=0.2
instruct_dpo,010101,8,first_at_T=0.2
instruct_dpo,110010,7,first_at_T=0.0
instruct_dpo,010011,7,first_at_T=0.2
instruct_dpo,001101,7,first_at_T=0.4
instruct_dpo,011010,6,first_at_T=0.2
instruct_dpo,101010,6,first_at_T=0.0
instruct_dpo,101011,6,first_at_T=0.0
instruct_dpo,100101,5,first_at_T=0.0
instruct_dpo,100110,3,first_at_T=0.0
instruct_dpo,101101,3,first_at_T=0.0
instruct_dpo,101001,2,first_at_T=0.0
think,000000,2095,never_conforms
think,111111,308,always_conforms
think,000010,162,first_at_T=0.8
think,000001,151,first_at_T=1.0
think,000011,139,first_at_T=0.8
think,100000,86,first_at_T=0.0
think,001000,80,first_at_T=0.4
think,000100,74,first_at_T=0.6
think,010000,67,first_at_T=0.2
think,111110,56,first_at_T=0.0
think,101111,52,first_at_T=0.0
think,110111,51,first_at_T=0.0
think,111101,46,first_at_T=0.0
think,011111,44,first_at_T=0.2
think,111100,37,first_at_T=0.0
think,111011,35,first_at_T=0.0
think,000110,33,first_at_T=0.6
think,000111,30,first_at_T=0.6
think,110000,30,first_at_T=0.0
think,100011,28,first_at_T=0.0
think,001100,27,first_at_T=0.4
think,010010,26,first_at_T=0.2
think,011000,26,first_at_T=0.2
think,010100,25,first_at_T=0.2
think,100001,24,first_at_T=0.0
think,001111,24,first_at_T=0.4
think,001001,24,first_at_T=0.4
think,111000,23,first_at_T=0.0
think,101000,22,first_at_T=0.0
think,111001,22,first_at_T=0.0
think,110100,22,first_at_T=0.0
think,011001,22,first_at_T=0.2
think,100010,21,first_at_T=0.0
think,101011,21,first_at_T=0.0
think,011011,20,first_at_T=0.2
think,000101,20,first_at_T=0.6
think,101110,20,first_at_T=0.0
think,110110,20,first_at_T=0.0
think,110001,20,first_at_T=0.0
think,010011,19,first_at_T=0.2
think,111010,19,first_at_T=0.0
think,110011,19,first_at_T=0.0
think,010001,18,first_at_T=0.2
think,100111,17,first_at_T=0.0
think,110010,17,first_at_T=0.0
think,011101,17,first_at_T=0.2
think,001010,17,first_at_T=0.4
think,100101,16,first_at_T=0.0
think,001101,16,first_at_T=0.4
think,010111,16,first_at_T=0.2
think,110101,16,first_at_T=0.0
think,011110,15,first_at_T=0.2
think,011010,15,first_at_T=0.2
think,011100,14,first_at_T=0.2
think,010110,14,first_at_T=0.2
think,001011,14,first_at_T=0.4
think,100110,14,first_at_T=0.0
think,001110,13,first_at_T=0.4
think,100100,13,first_at_T=0.0
think,010101,11,first_at_T=0.2
think,101101,11,first_at_T=0.0
think,101001,9,first_at_T=0.0
think,101010,9,first_at_T=0.0
think,101100,8,first_at_T=0.0
think_sft,000000,2111,never_conforms
think_sft,111111,223,always_conforms
think_sft,000010,157,first_at_T=0.8
think_sft,000001,155,first_at_T=1.0
think_sft,000011,110,first_at_T=0.8
think_sft,100000,98,first_at_T=0.0
think_sft,010000,98,first_at_T=0.2
think_sft,000100,86,first_at_T=0.6
think_sft,001000,83,first_at_T=0.4
think_sft,111101,57,first_at_T=0.0
think_sft,111011,53,first_at_T=0.0
think_sft,011111,52,first_at_T=0.2
think_sft,111110,49,first_at_T=0.0
think_sft,110111,43,first_at_T=0.0
think_sft,101111,34,first_at_T=0.0
think_sft,100010,31,first_at_T=0.0
think_sft,100100,30,first_at_T=0.0
think_sft,000101,30,first_at_T=0.6
think_sft,001011,30,first_at_T=0.4
think_sft,000111,30,first_at_T=0.6
think_sft,011000,29,first_at_T=0.2
think_sft,001001,28,first_at_T=0.4
think_sft,111100,28,first_at_T=0.0
think_sft,100001,28,first_at_T=0.0
think_sft,000110,27,first_at_T=0.6
think_sft,010001,26,first_at_T=0.2
think_sft,010111,23,first_at_T=0.2
think_sft,110000,23,first_at_T=0.0
think_sft,001111,23,first_at_T=0.4
think_sft,010011,22,first_at_T=0.2
think_sft,101000,21,first_at_T=0.0
think_sft,011110,21,first_at_T=0.2
think_sft,100101,21,first_at_T=0.0
think_sft,001110,20,first_at_T=0.4
think_sft,111010,20,first_at_T=0.0
think_sft,100110,20,first_at_T=0.0
think_sft,010010,20,first_at_T=0.2
think_sft,110110,20,first_at_T=0.0
think_sft,111001,20,first_at_T=0.0
think_sft,010100,20,first_at_T=0.2
think_sft,011011,20,first_at_T=0.2
think_sft,011101,20,first_at_T=0.2
think_sft,001010,20,first_at_T=0.4
think_sft,100111,19,first_at_T=0.0
think_sft,011001,19,first_at_T=0.2
think_sft,100011,19,first_at_T=0.0
think_sft,111000,18,first_at_T=0.0
think_sft,101110,18,first_at_T=0.0
think_sft,110101,18,first_at_T=0.0
think_sft,001100,18,first_at_T=0.4
think_sft,110011,18,first_at_T=0.0
think_sft,101010,17,first_at_T=0.0
think_sft,010101,15,first_at_T=0.2
think_sft,110010,15,first_at_T=0.0
think_sft,101001,15,first_at_T=0.0
think_sft,001101,14,first_at_T=0.4
think_sft,101100,14,first_at_T=0.0
think_sft,101011,14,first_at_T=0.0
think_sft,110001,13,first_at_T=0.0
think_sft,011010,13,first_at_T=0.2
think_sft,101101,13,first_at_T=0.0
think_sft,011100,12,first_at_T=0.2
think_sft,110100,10,first_at_T=0.0
think_sft,010110,8,first_at_T=0.2
think_dpo,000000,1733,never_conforms
think_dpo,000011,353,first_at_T=0.8
think_dpo,111100,253,first_at_T=0.0
think_dpo,000001,224,first_at_T=1.0
think_dpo,000010,213,first_at_T=0.8
think_dpo,100000,110,first_at_T=0.0
think_dpo,000100,94,first_at_T=0.6
think_dpo,010000,87,first_at_T=0.2
think_dpo,111111,87,always_conforms
think_dpo,001000,78,first_at_T=0.4
think_dpo,111000,69,first_at_T=0.0
think_dpo,110100,64,first_at_T=0.0
think_dpo,101100,57,first_at_T=0.0
think_dpo,110000,56,first_at_T=0.0
think_dpo,011100,55,first_at_T=0.2
think_dpo,001100,53,first_at_T=0.4
think_dpo,011000,53,first_at_T=0.2
think_dpo,100100,45,first_at_T=0.0
think_dpo,111110,42,first_at_T=0.0
think_dpo,111101,36,first_at_T=0.0
think_dpo,101000,32,first_at_T=0.0
think_dpo,010100,30,first_at_T=0.2
think_dpo,100011,26,first_at_T=0.0
think_dpo,000111,25,first_at_T=0.6
think_dpo,110111,22,first_at_T=0.0
think_dpo,010011,22,first_at_T=0.2
think_dpo,001011,19,first_at_T=0.4
think_dpo,101111,19,first_at_T=0.0
think_dpo,011111,19,first_at_T=0.2
think_dpo,111011,19,first_at_T=0.0
think_dpo,000110,18,first_at_T=0.6
think_dpo,110110,16,first_at_T=0.0
think_dpo,111010,15,first_at_T=0.0
think_dpo,010001,15,first_at_T=0.2
think_dpo,001101,15,first_at_T=0.4
think_dpo,001111,15,first_at_T=0.4
think_dpo,110011,14,first_at_T=0.0
think_dpo,100010,14,first_at_T=0.0
think_dpo,011011,13,first_at_T=0.2
think_dpo,001001,13,first_at_T=0.4
think_dpo,101110,13,first_at_T=0.0
think_dpo,100001,12,first_at_T=0.0
think_dpo,001010,12,first_at_T=0.4
think_dpo,101101,12,first_at_T=0.0
think_dpo,000101,11,first_at_T=0.6
think_dpo,011010,11,first_at_T=0.2
think_dpo,111001,11,first_at_T=0.0
think_dpo,110001,10,first_at_T=0.0
think_dpo,101011,9,first_at_T=0.0
think_dpo,100111,9,first_at_T=0.0
think_dpo,110010,9,first_at_T=0.0
think_dpo,010111,9,first_at_T=0.2
think_dpo,1-11110,9,first_at_T=0.0
think_dpo,1-11100,9,first_at_T=0.0
think_dpo,110101,8,first_at_T=0.0
think_dpo,010010,8,first_at_T=0.2
think_dpo,011110,8,first_at_T=0.2
think_dpo,1-11111,8,first_at_T=0.0
think_dpo,100101,7,first_at_T=0.0
think_dpo,011001,7,first_at_T=0.2
think_dpo,100110,6,first_at_T=0.0
think_dpo,1-11101,6,first_at_T=0.0
think_dpo,011101,5,first_at_T=0.2
think_dpo,101001,5,first_at_T=0.0
think_dpo,101010,4,first_at_T=0.0
think_dpo,001110,4,first_at_T=0.4
think_dpo,010101,4,first_at_T=0.2
think_dpo,010110,3,first_at_T=0.2
think_dpo,1-10011,3,first_at_T=0.0
think_dpo,-100001,3,first_at_T=0.2
think_dpo,1-10100,2,first_at_T=0.0
think_dpo,0-11111,2,first_at_T=0.4
think_dpo,1-10111,2,first_at_T=0.0
think_dpo,1-11010,2,first_at_T=0.0
think_dpo,0-11011,2,first_at_T=0.4
think_dpo,-100000,2,first_at_T=0.2
think_dpo,1-11011,1,first_at_T=0.0
think_dpo,1-10101,1,first_at_T=0.0
think_dpo,1-10010,1,first_at_T=0.0
think_dpo,0-10111,1,first_at_T=0.4
think_dpo,0-10000,1,first_at_T=0.4
think_dpo,0-11100,1,first_at_T=0.4
think_dpo,1-11000,1,first_at_T=0.0
think_dpo,0-10010,1,first_at_T=0.4
think_dpo,0-10101,1,first_at_T=0.4
think_dpo,-100011,1,first_at_T=0.2
