temperature,variant,dataset_category,control_error_rate,n_control,pressure_error_rate,n_pressure,condition_name,delta_error
1.0,base,math,0.6770833333333334,96,0.6767676767676768,99,asch_history_5,-0.00031565656565657463
1.0,base,opinion,0.723404255319149,47,0.84,50,asch_history_5,0.11659574468085099
1.0,base,reasoning,0.5625,48,0.7083333333333334,48,asch_history_5,0.14583333333333337
1.0,base,science,0.5918367346938775,49,0.5416666666666666,48,asch_history_5,-0.05017006802721091
1.0,base,truthfulness,0.5918367346938775,49,0.6938775510204082,49,asch_history_5,0.10204081632653061
1.0,instruct,general,0.7857142857142857,42,0.75,48,asch_history_5,-0.0357142857142857
1.0,instruct,knowledge,0.7142857142857143,42,0.7,50,asch_history_5,-0.014285714285714346
1.0,instruct,math,0.4574468085106383,94,0.5164835164835165,91,asch_history_5,0.059036707972878244
1.0,instruct,opinion,0.7333333333333333,45,0.6530612244897959,49,asch_history_5,-0.08027210884353742
1.0,instruct,reasoning,0.5510204081632653,49,0.6122448979591837,49,asch_history_5,0.061224489795918435
1.0,instruct,science,0.574468085106383,47,0.58,50,asch_history_5,0.005531914893616929
1.0,instruct,truthfulness,0.5510204081632653,49,0.5,50,asch_history_5,-0.05102040816326525
1.0,instruct_sft,general,0.7446808510638298,47,0.9183673469387755,49,asch_history_5,0.17368649587494578
1.0,instruct_sft,knowledge,0.782608695652174,46,0.9574468085106383,47,asch_history_5,0.1748381128584644
1.0,instruct_sft,math,0.3684210526315789,95,0.6041666666666666,96,asch_history_5,0.2357456140350877
1.0,instruct_sft,opinion,0.6444444444444445,45,0.8723404255319149,47,asch_history_5,0.22789598108747045
1.0,instruct_sft,reasoning,0.625,48,0.8571428571428571,49,asch_history_5,0.2321428571428571
1.0,instruct_sft,science,0.5833333333333334,48,0.6,50,asch_history_5,0.016666666666666607
1.0,instruct_sft,truthfulness,0.64,50,0.84,50,asch_history_5,0.19999999999999996
1.0,instruct_dpo,general,0.6595744680851063,47,0.72,50,asch_history_5,0.06042553191489364
1.0,instruct_dpo,knowledge,0.6382978723404256,47,0.76,50,asch_history_5,0.12170212765957444
1.0,instruct_dpo,math,0.45555555555555555,90,0.5520833333333334,96,asch_history_5,0.09652777777777782
1.0,instruct_dpo,opinion,0.5652173913043478,46,0.673469387755102,49,asch_history_5,0.10825199645075423
1.0,instruct_dpo,reasoning,0.5625,48,0.52,50,asch_history_5,-0.04249999999999998
1.0,instruct_dpo,science,0.5319148936170213,47,0.5208333333333334,48,asch_history_5,-0.011081560283687897
1.0,instruct_dpo,truthfulness,0.6041666666666666,48,0.48,50,asch_history_5,-0.12416666666666665
0.0,base,general,0.9259259259259259,27,0.88,50,asch_zhu_unbiased_da,-0.045925925925925926
0.0,base,knowledge,0.9629629629629629,27,0.9,50,asch_zhu_unbiased_da,-0.06296296296296289
0.0,base,math,0.7936507936507936,63,0.9797979797979798,99,asch_zhu_unbiased_da,0.18614718614718617
0.0,base,opinion,0.9473684210526315,19,0.9,50,asch_zhu_unbiased_da,-0.047368421052631504
0.0,base,reasoning,0.6818181818181818,22,0.8,50,asch_zhu_unbiased_da,0.11818181818181828
0.0,base,science,0.78125,32,0.84,50,asch_zhu_unbiased_da,0.05874999999999997
0.0,base,truthfulness,0.65625,32,0.88,50,asch_zhu_unbiased_da,0.22375
0.0,instruct,general,0.8695652173913043,23,0.86,50,asch_zhu_unbiased_da,-0.009565217391304337
0.0,instruct,knowledge,0.9090909090909091,22,0.88,50,asch_zhu_unbiased_da,-0.029090909090909056
0.0,instruct,math,0.7037037037037037,27,0.8787878787878788,99,asch_zhu_unbiased_da,0.17508417508417506
0.0,instruct,opinion,0.6818181818181818,22,0.96,50,asch_zhu_unbiased_da,0.2781818181818182
0.0,instruct,reasoning,0.8666666666666667,15,0.9,50,asch_zhu_unbiased_da,0.033333333333333326
0.0,instruct,science,0.782608695652174,23,0.88,50,asch_zhu_unbiased_da,0.09739130434782606
0.0,instruct,truthfulness,0.625,24,0.92,50,asch_zhu_unbiased_da,0.29500000000000004
0.0,instruct_sft,general,0.96,25,0.86,50,asch_zhu_unbiased_da,-0.09999999999999998
0.0,instruct_sft,knowledge,1.0,23,0.86,50,asch_zhu_unbiased_da,-0.14
0.0,instruct_sft,math,0.5952380952380952,42,0.81,100,asch_zhu_unbiased_da,0.21476190476190482
0.0,instruct_sft,opinion,0.8333333333333334,24,0.92,50,asch_zhu_unbiased_da,0.08666666666666667
0.0,instruct_sft,reasoning,0.8461538461538461,26,0.92,50,asch_zhu_unbiased_da,0.0738461538461539
0.0,instruct_sft,science,0.8181818181818182,22,0.84,50,asch_zhu_unbiased_da,0.021818181818181737
0.0,instruct_sft,truthfulness,0.5333333333333333,30,0.94,50,asch_zhu_unbiased_da,0.4066666666666666
0.0,instruct_dpo,general,0.92,25,0.8,50,asch_zhu_unbiased_da,-0.12
0.0,instruct_dpo,knowledge,0.9583333333333334,24,0.86,50,asch_zhu_unbiased_da,-0.09833333333333338
0.0,instruct_dpo,math,0.6923076923076923,26,0.79,100,asch_zhu_unbiased_da,0.09769230769230774
0.0,instruct_dpo,opinion,0.8260869565217391,23,0.88,50,asch_zhu_unbiased_da,0.05391304347826087
0.0,instruct_dpo,reasoning,0.8181818181818182,22,0.82,50,asch_zhu_unbiased_da,0.0018181818181817189
0.0,instruct_dpo,science,0.7916666666666666,24,0.84,50,asch_zhu_unbiased_da,0.04833333333333334
0.0,instruct_dpo,truthfulness,0.6071428571428571,28,0.9,50,asch_zhu_unbiased_da,0.2928571428571429
0.2,base,general,0.9166666666666666,24,0.86,50,asch_zhu_unbiased_da,-0.05666666666666664
0.2,base,knowledge,0.9130434782608695,23,0.84,50,asch_zhu_unbiased_da,-0.07304347826086954
0.2,base,math,0.819672131147541,61,0.97,100,asch_zhu_unbiased_da,0.15032786885245897
0.2,base,opinion,0.9411764705882353,17,0.88,50,asch_zhu_unbiased_da,-0.06117647058823528
0.2,base,reasoning,0.7222222222222222,18,0.84,50,asch_zhu_unbiased_da,0.11777777777777776
0.2,base,science,0.8275862068965517,29,0.84,50,asch_zhu_unbiased_da,0.012413793103448256
0.2,base,truthfulness,0.6111111111111112,36,0.84,50,asch_zhu_unbiased_da,0.2288888888888888
0.2,instruct,general,0.8,20,0.86,50,asch_zhu_unbiased_da,0.05999999999999994
0.2,instruct,knowledge,0.8,20,0.9,50,asch_zhu_unbiased_da,0.09999999999999998
0.2,instruct,math,0.6451612903225806,31,0.89,100,asch_zhu_unbiased_da,0.24483870967741939
0.2,instruct,opinion,0.7142857142857143,21,0.92,50,asch_zhu_unbiased_da,0.20571428571428574
0.2,instruct,reasoning,0.8947368421052632,19,0.9,50,asch_zhu_unbiased_da,0.0052631578947368585
0.2,instruct,science,0.8571428571428571,21,0.8979591836734694,49,asch_zhu_unbiased_da,0.04081632653061229
0.2,instruct,truthfulness,0.5384615384615384,26,0.94,50,asch_zhu_unbiased_da,0.4015384615384615
0.2,instruct_sft,general,0.88,25,0.86,50,asch_zhu_unbiased_da,-0.020000000000000018
