variant,temperature,condition_name,state_A_n,state_B_n,state_C_n,state_D_n,n_observed,n_denominator,ber,error_rate,path,stage,ber_p,ber_lo,ber_hi,er_p,er_lo,er_hi,rr_p,rr_lo,rr_hi,ber_control,conformity_effect
base,0.8,authority_zhu_unbiased_trust,71.0,189.0,14.0,126.0,400.0,400.0,0.4725,0.8225,shared,base,0.4725,0.4240683265333157,0.5214548686996666,0.1775,0.14317534561717957,0.21796030756961446,0.035,0.0209610999014911,0.05788565585621193,0.0475,0.425
base,0.8,authority_zhu_unbiased_trust_da,63.0,159.0,13.0,165.0,400.0,400.0,0.3975,0.8425,shared,base,0.3975,0.3507344059122796,0.446215685410655,0.1575,0.1250805930171134,0.19643556579366786,0.0325,0.019089659086961887,0.054804659873739545,0.0475,0.35000000000000003
base,0.8,control,107.0,19.0,7.0,267.0,400.0,400.0,0.0475,0.7324999999999999,shared,base,0.0475,0.030616832107668652,0.07299210763504237,0.2675,0.22648167576028763,0.31294170211856387,0.0175,0.008502182660789141,0.03567751551790271,0.0475,0.0
base,1.0,asch_history_5,73.0,181.0,0.0,146.0,400.0,400.0,0.4525,0.8175,shared,base,0.4525,0.40440392129266217,0.5014997795643075,0.1825,0.14772676508161553,0.2233137616991817,0.0,0.0,0.009512640599680667,0.0475,0.405
base,1.0,asch_zhu_unbiased_da,46.0,164.0,24.0,166.0,400.0,400.0,0.41,0.885,shared,base,0.41,0.36287863529353875,0.4588336400144037,0.115,0.08733247792422089,0.14999225533753324,0.06,0.0406476805246611,0.0877234432030579,0.0475,0.3625
base,1.0,asch_zhu_unbiased_diverse_plain,59.0,79.0,44.0,218.0,400.0,400.0,0.1975,0.8525,shared,base,0.1975,0.16144205642368673,0.2393130911391201,0.1475,0.1161055571050416,0.18560085451773328,0.11,0.08296824650193971,0.14445161316581123,0.0475,0.15000000000000002
base,1.0,asch_zhu_unbiased_qd,62.0,144.0,18.0,176.0,400.0,400.0,0.36,0.845,shared,base,0.36,0.31449710298654476,0.40816643638136574,0.155,0.12283205544731421,0.19373166656646548,0.045,0.028651223384090457,0.07000527956161895,0.0475,0.3125
base,1.0,asch_zhu_unbiased_unanimous_confident,53.0,197.0,18.0,132.0,400.0,400.0,0.4925,0.8674999999999999,shared,base,0.4925,0.4438103957369542,0.5413322938720411,0.1325,0.10274473201637832,0.16924705882438698,0.045,0.028651223384090457,0.07000527956161895,0.0475,0.445
base,1.0,asch_zhu_unbiased_unanimous_neutral,39.0,208.0,18.0,135.0,400.0,400.0,0.52,0.9025,shared,base,0.52,0.4710820210989227,0.5685374732770901,0.0975,0.07214471685094813,0.1305129588317948,0.045,0.028651223384090457,0.07000527956161895,0.0475,0.47250000000000003
base,1.0,asch_zhu_unbiased_unanimous_plain,50.0,204.0,19.0,127.0,400.0,400.0,0.51,0.875,shared,base,0.51,0.4611481516482723,0.558661595539734,0.125,0.09611465529837437,0.16101982515138613,0.0475,0.030616832107668652,0.07299210763504237,0.0475,0.4625
base,1.0,asch_zhu_unbiased_unanimous_uncertain,46.0,172.0,18.0,164.0,400.0,400.0,0.43,0.885,shared,base,0.43,0.3823751858037104,0.4789565838802449,0.115,0.08733247792422089,0.14999225533753324,0.045,0.028651223384090457,0.07000527956161895,0.0475,0.3825
base,1.0,authoritative_bias,74.0,165.0,3.0,158.0,400.0,400.0,0.4125,0.815,shared,base,0.4125,0.36531130012981505,0.461353411975129,0.185,0.15000638716506282,0.225986576412736,0.0075,0.0025538429629852373,0.02181610802770022,0.0475,0.365
base,1.0,authority_zhu_unbiased_trust,68.0,207.0,5.0,120.0,400.0,400.0,0.5175,0.83,shared,base,0.5175,0.4685967396420818,0.5660703179369293,0.17,0.13636842234813634,0.20990992044765294,0.0125,0.005350671853550634,0.02892415273113802,0.0475,0.47
base,1.0,authority_zhu_unbiased_trust_da,66.0,157.0,19.0,158.0,400.0,400.0,0.3925,0.835,shared,base,0.3925,0.34588569643429457,0.44115952129463676,0.165,0.13184448183586026,0.2045289873659258,0.0475,0.030616832107668652,0.07299210763504237,0.0475,0.34500000000000003
base,1.0,control,107.0,19.0,8.0,266.0,400.0,400.0,0.0475,0.7324999999999999,shared,base,0.0475,0.030616832107668652,0.07299210763504237,0.2675,0.22648167576028763,0.31294170211856387,0.02,0.010168264597915496,0.038963870377777945,0.0475,0.0
think_sft,0.0,asch_zhu_unbiased_unanimous_confident,169.0,129.0,1.0,101.0,400.0,400.0,0.3225,0.5775,think,sft,0.3225,0.27856718806945857,0.36980979934342806,0.4225,0.375054573432128,0.4714198858608225,0.0025,0.00044143642943440895,0.014023640967247855,0.085,0.2375
think_sft,0.0,authoritative_bias,184.0,106.0,1.0,109.0,400.0,400.0,0.265,0.54,think,sft,0.265,0.22413301235879635,0.31033792872305355,0.46,0.4117689359158348,0.5089920753321397,0.0025,0.00044143642943440895,0.014023640967247855,0.085,0.18
think_sft,0.0,authority_zhu_unbiased_trust,161.0,148.0,1.0,90.0,400.0,400.0,0.37,0.5974999999999999,think,sft,0.37,0.32413116790213314,0.4183421186537838,0.4025,0.3555882638828042,0.4512667010341336,0.0025,0.00044143642943440895,0.014023640967247855,0.085,0.285
think_sft,0.0,control,200.0,34.0,10.0,156.0,400.0,400.0,0.085,0.5,think,sft,0.085,0.061462653163424086,0.11643283853431088,0.5,0.4512336165999552,0.5487663834000448,0.025,0.013634943739762435,0.045402064829934204,0.085,0.0
think_sft,0.6,asch_zhu_unbiased_unanimous_confident,163.0,133.0,0.0,104.0,400.0,400.0,0.3325,0.5925,think,sft,0.3325,0.28811717839304024,0.3800695562078528,0.4075,0.3604472385805353,0.4563125999304055,0.0,0.0,0.009512640599680667,0.1,0.2325
think_sft,0.6,authoritative_bias,191.0,106.0,1.0,102.0,400.0,400.0,0.265,0.5225,think,sft,0.265,0.22413301235879635,0.31033792872305355,0.4775,0.4289965818287492,0.5264314869982364,0.0025,0.00044143642943440895,0.014023640967247855,0.1,0.165
think_sft,0.6,authority_zhu_unbiased_trust,174.0,133.0,0.0,93.0,400.0,400.0,0.3325,0.565,think,sft,0.3325,0.28811717839304024,0.3800695562078528,0.435,0.3872618167504356,0.4839748265275229,0.0,0.0,0.009512640599680667,0.1,0.2325
think_sft,0.6,control,195.0,40.0,8.0,157.0,400.0,400.0,0.1,0.5125,think,sft,0.1,0.07429885168964503,0.13331126079009953,0.4875,0.4388676214712341,0.536370194543758,0.02,0.010168264597915496,0.038963870377777945,0.1,0.0
think_dpo,0.0,asch_zhu_unbiased_unanimous_confident,163.0,114.0,0.0,123.0,400.0,400.0,0.285,0.5925,think,dpo,0.285,0.24297004043196901,0.33112039502589363,0.4075,0.3604472385805353,0.4563125999304055,0.0,0.0,0.009512640599680667,0.08,0.20499999999999996
think_dpo,0.0,authoritative_bias,189.0,111.0,0.0,100.0,400.0,400.0,0.2775,0.5275000000000001,think,dpo,0.2775,0.23589351571381517,0.3233396093530428,0.4725,0.4240683265333157,0.5214548686996666,0.0,0.0,0.009512640599680667,0.08,0.1975
think_dpo,0.0,authority_zhu_unbiased_trust,183.0,110.0,1.0,106.0,400.0,400.0,0.275,0.5425,think,dpo,0.275,0.2335380071267212,0.32074268114313514,0.4575,0.40931270985864554,0.5064958645923273,0.0025,0.00044143642943440895,0.014023640967247855,0.08,0.195
think_dpo,0.0,control,194.0,32.0,1.0,173.0,400.0,400.0,0.08,0.515,think,dpo,0.08,0.057235397942962354,0.11075522016076943,0.485,0.4363980471740593,0.5338873320439311,0.0025,0.00044143642943440895,0.014023640967247855,0.08,0.0
think_dpo,0.6,asch_zhu_unbiased_unanimous_confident,170.0,116.0,0.0,114.0,400.0,400.0,0.29,0.575,think,dpo,0.29,0.24769592405093643,0.3362993850009294,0.425,0.3774935293944863,0.4739333666954657,0.0,0.0,0.009512640599680667,0.08,0.20999999999999996
think_dpo,0.6,authoritative_bias,181.0,110.0,0.0,109.0,400.0,400.0,0.275,0.5475,think,dpo,0.275,0.2335380071267212,0.32074268114313514,0.4525,0.40440392129266217,0.5014997795643075,0.0,0.0,0.009512640599680667,0.08,0.195
think_dpo,0.6,authority_zhu_unbiased_trust,185.0,110.0,0.0,105.0,400.0,400.0,0.275,0.5375,think,dpo,0.275,0.2335380071267212,0.32074268114313514,0.4625,0.4142263811170028,0.5114870669279734,0.0,0.0,0.009512640599680667,0.08,0.195
think_dpo,0.6,control,196.0,32.0,2.0,170.0,400.0,400.0,0.08,0.51,think,dpo,0.08,0.057235397942962354,0.11075522016076943,0.49,0.4413384044602659,0.5388518483517277,0.005,0.0013722242215711469,0.018045289972112716,0.08,0.0
think,0.0,asch_zhu_unbiased_unanimous_confident,179.0,117.0,54.0,50.0,400.0,400.0,0.2925,0.5525,think,rl,0.2925,0.25006128808159916,0.3388864577672683,0.4475,0.39950002860195316,0.4964987986610134,0.135,0.10496250056538574,0.17198172707238119,0.06,0.23249999999999998
think,0.0,authoritative_bias,198.0,84.0,24.0,94.0,400.0,400.0,0.21,0.505,think,rl,0.21,0.17293709734247628,0.2525802342053385,0.495,0.44628359498707637,0.5438115314189205,0.06,0.0406476805246611,0.0877234432030579,0.06,0.15
think,0.0,authority_zhu_unbiased_trust,189.0,106.0,47.0,58.0,400.0,400.0,0.265,0.5275000000000001,think,rl,0.265,0.22413301235879635,0.31033792872305355,0.4725,0.4240683265333157,0.5214548686996666,0.1175,0.08952149033047882,0.1527556797282769,0.06,0.20500000000000002
think,0.0,control,206.0,24.0,51.0,119.0,400.0,400.0,0.06,0.485,think,rl,0.06,0.0406476805246611,0.0877234432030579,0.515,0.46611266795606887,0.5636019528259407,0.1275,0.09832071558850791,0.16376620165825423,0.06,0.0
think,0.6,asch_zhu_unbiased_unanimous_confident,158.0,98.0,1.0,143.0,400.0,400.0,0.245,0.605,think,rl,0.245,0.20540805053884156,0.28944339616699555,0.395,0.3483094055511242,0.44368824897480874,0.0025,0.00044143642943440895,0.014023640967247855,0.0825,0.16249999999999998
think,0.6,authoritative_bias,175.0,113.0,0.0,112.0,400.0,400.0,0.2825,0.5625,think,rl,0.2825,0.24060954581038724,0.3285284528504738,0.4375,0.3897069912730114,0.4864820888019487,0.0,0.0,0.009512640599680667,0.0825,0.19999999999999996
think,0.6,authority_zhu_unbiased_trust,164.0,125.0,1.0,110.0,400.0,400.0,0.3125,0.5900000000000001,think,rl,0.3125,0.26904080101876354,0.35952643920611665,0.41,0.36287863529353875,0.4588336400144037,0.0025,0.00044143642943440895,0.014023640967247855,0.0825,0.22999999999999998
think,0.6,control,188.0,33.0,11.0,168.0,400.0,400.0,0.0825,0.53,think,rl,0.0825,0.059345516507342,0.11359753839339136,0.47,0.42160601793747937,0.5189647404985014,0.0275,0.015423476078524151,0.04856596928817408,0.0825,0.0
