variant,temperature,condition_name,state_A_n,state_B_n,state_C_n,state_D_n,n_observed,n_denominator,ber,error_rate,path,stage,ber_p,ber_lo,ber_hi,er_p,er_lo,er_hi,rr_p,rr_lo,rr_hi,ber_control,conformity_effect
instruct,1.0,asch_history_5,120.0,81.0,0.0,199.0,400.0,400.0,0.2025,0.7,instruct,rl,0.2025,0.16603317911938578,0.24462684203742427,0.3,0.2571669255289339,0.34663813071093835,0.0,0.0,0.009512640599680667,0.0575,0.14500000000000002
instruct,1.0,asch_zhu_unbiased_da,61.0,74.0,27.0,238.0,400.0,400.0,0.185,0.8475,instruct,rl,0.185,0.15000638716506282,0.225986576412736,0.1525,0.12058666169525958,0.19102462352151847,0.0675,0.046801154899328234,0.09642727921939556,0.0575,0.1275
instruct,1.0,asch_zhu_unbiased_diverse_plain,56.0,53.0,43.0,248.0,400.0,400.0,0.1325,0.86,instruct,rl,0.1325,0.10274473201637832,0.16924705882438698,0.14,0.10940912065943276,0.17743998057233734,0.1075,0.08079329401678037,0.14167412885396896,0.0575,0.07500000000000001
instruct,1.0,asch_zhu_unbiased_qd,51.0,68.0,30.0,251.0,400.0,400.0,0.17,0.8725,instruct,rl,0.17,0.13636842234813634,0.20990992044765294,0.1275,0.09832071558850791,0.16376620165825423,0.075,0.053037406335715714,0.10504833817401285,0.0575,0.11250000000000002
instruct,1.0,asch_zhu_unbiased_unanimous_confident,37.0,190.0,45.0,128.0,400.0,400.0,0.475,0.9075,instruct,rl,0.475,0.4265318481465433,0.5239437838834407,0.0925,0.06785354688500786,0.12489925520373191,0.1125,0.0851480200886654,0.14722427637608715,0.0575,0.4175
instruct,1.0,asch_zhu_unbiased_unanimous_neutral,64.0,180.0,20.0,136.0,400.0,400.0,0.45,0.84,instruct,rl,0.45,0.40195136207927884,0.4989999019806892,0.16,0.12733221459300603,0.19913638101477682,0.05,0.0325971756266401,0.07596420091307252,0.0575,0.3925
instruct,1.0,asch_zhu_unbiased_unanimous_plain,65.0,91.0,26.0,218.0,400.0,400.0,0.2275,0.8375,instruct,rl,0.2275,0.1891226131151639,0.2710617760116621,0.1625,0.1295868626510332,0.2018341697537513,0.065,0.04474017569726697,0.09353582162445521,0.0575,0.17
instruct,1.0,asch_zhu_unbiased_unanimous_uncertain,79.0,136.0,15.0,170.0,400.0,400.0,0.34,0.8025,instruct,rl,0.34,0.2952948324121193,0.38774921257977857,0.1975,0.16144205642368673,0.2393130911391201,0.0375,0.022854824841380277,0.06094436771332434,0.0575,0.28250000000000003
instruct,1.0,authoritative_bias,82.0,120.0,2.0,196.0,400.0,400.0,0.3,0.795,instruct,rl,0.3,0.2571669255289339,0.34663813071093835,0.205,0.1683322182508118,0.24728023970299978,0.005,0.0013722242215711469,0.018045289972112716,0.0575,0.2425
instruct,1.0,authority_zhu_unbiased_trust,100.0,118.0,2.0,180.0,400.0,400.0,0.295,0.75,instruct,rl,0.295,0.2524282507849876,0.3414719318608814,0.25,0.21007832849376823,0.29467799180607207,0.005,0.0013722242215711469,0.018045289972112716,0.0575,0.2375
instruct,1.0,authority_zhu_unbiased_trust_da,101.0,124.0,10.0,165.0,400.0,400.0,0.31,0.7475,instruct,rl,0.31,0.26666296102378073,0.35695184240409794,0.2525,0.21241625232287653,0.2972925047739654,0.025,0.013634943739762435,0.045402064829934204,0.0575,0.2525
instruct,1.0,control,141.0,23.0,21.0,215.0,400.0,400.0,0.0575,0.6475,instruct,rl,0.0575,0.038617261729224514,0.08480142520149289,0.3525,0.3072858484474132,0.4005203805294925,0.0525,0.03459126500804263,0.07892254832867157,0.0575,0.0
