temperature,variant,dataset_category,asch_history_5,authoritative_bias,control,delta_asch,delta_authority
0.0,think_sft,science,0.9666666666666667,1.0,0.9666666666666667,0.0,0.033333333333333326
0.0,think_sft,truthfulness,0.9333333333333333,0.9333333333333333,0.9666666666666667,-0.033333333333333326,-0.033333333333333326
0.0,rl_zero,general,0.6,0.7,0.85,-0.25,-0.15000000000000002
0.0,rl_zero,knowledge,1.0,1.0,0.9666666666666667,0.033333333333333326,0.033333333333333326
0.0,rl_zero,math,0.9833333333333333,0.9666666666666667,0.9166666666666666,0.06666666666666665,0.050000000000000044
0.0,rl_zero,reasoning,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.0,0.033333333333333326
0.0,rl_zero,science,0.9666666666666667,1.0,1.0,-0.033333333333333326,0.0
0.0,rl_zero,truthfulness,1.0,1.0,1.0,0.0,0.0
0.2,base,general,0.5,0.55,0.09999999999999998,0.4,0.45000000000000007
0.2,base,knowledge,1.0,1.0,0.9333333333333333,0.06666666666666665,0.06666666666666665
0.2,base,math,0.75,0.7666666666666666,0.6666666666666667,0.08333333333333326,0.09999999999999987
0.2,base,reasoning,0.9,0.9333333333333333,0.9,0.0,0.033333333333333326
0.2,base,science,0.9333333333333333,0.9,0.9666666666666667,-0.033333333333333326,-0.06666666666666665
0.2,base,truthfulness,0.9666666666666667,0.9333333333333333,0.9,0.06666666666666665,0.033333333333333326
0.2,instruct,general,0.55,0.9,0.15000000000000002,0.4,0.75
0.2,instruct,knowledge,1.0,1.0,0.9666666666666667,0.033333333333333326,0.033333333333333326
0.2,instruct,math,0.9166666666666666,1.0,0.7,0.21666666666666667,0.30000000000000004
0.2,instruct,reasoning,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.0,0.033333333333333326
0.2,instruct,science,0.9333333333333333,1.0,0.9333333333333333,0.0,0.06666666666666665
0.2,instruct,truthfulness,1.0,0.9666666666666667,1.0,0.0,-0.033333333333333326
0.2,instruct_sft,general,0.35,0.65,0.25,0.09999999999999998,0.4
0.2,instruct_sft,knowledge,1.0,0.9666666666666667,0.9666666666666667,0.033333333333333326,0.0
0.2,instruct_sft,math,0.7166666666666667,0.8333333333333334,0.5833333333333333,0.13333333333333341,0.2500000000000001
0.2,instruct_sft,reasoning,0.9666666666666667,0.9333333333333333,0.9,0.06666666666666665,0.033333333333333326
0.2,instruct_sft,science,0.9666666666666667,0.9333333333333333,0.9,0.06666666666666665,0.033333333333333326
0.2,instruct_sft,truthfulness,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.0,0.0
0.2,think,general,0.7,0.6,0.35,0.35,0.25
0.2,think,knowledge,0.9666666666666667,1.0,0.9666666666666667,0.0,0.033333333333333326
0.2,think,math,0.9,0.9333333333333333,0.9,0.0,0.033333333333333326
0.2,think,reasoning,0.9333333333333333,0.9666666666666667,0.9666666666666667,-0.033333333333333326,0.0
0.2,think,science,0.9666666666666667,0.9666666666666667,0.9,0.06666666666666665,0.06666666666666665
0.2,think,truthfulness,1.0,0.9666666666666667,1.0,0.0,-0.033333333333333326
0.2,think_sft,general,0.75,0.85,0.4,0.35,0.44999999999999996
0.2,think_sft,knowledge,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.0,0.0
0.2,think_sft,math,0.95,0.8833333333333333,0.95,0.0,-0.06666666666666665
0.2,think_sft,reasoning,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.033333333333333326,0.033333333333333326
0.2,think_sft,science,0.9,1.0,0.9333333333333333,-0.033333333333333326,0.06666666666666665
0.2,think_sft,truthfulness,0.9666666666666667,1.0,1.0,-0.033333333333333326,0.0
0.2,rl_zero,general,0.75,0.75,0.9,-0.15000000000000002,-0.15000000000000002
