db_path,experiment_group,model_id,variant,temperature,condition_name,n_rows,n_judged,item_count,median_raw_text_len,max_raw_text_len,judge_prompt_version,judge_model
runs/20260327_154435_c2ce0f85-8f67-40f2-a82d-e136927cf6f5/simulation.db,cross_family_main,meta-llama/llama-4-maverick,llama4_maverick,0.6,control,400,400,400,622,3728,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224321_e043fbf6-27eb-410c-8da7-bc0f9172ab0b/simulation.db,cross_family_main,google/gemini-2.5-flash-lite,gemini_25_flash_lite,0.0,asch_zhu_unanimous_confident,400,400,400,2590,567028,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224321_e043fbf6-27eb-410c-8da7-bc0f9172ab0b/simulation.db,cross_family_main,google/gemini-2.5-flash-lite,gemini_25_flash_lite,0.0,authoritative_bias,400,400,400,2183,371422,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224321_e043fbf6-27eb-410c-8da7-bc0f9172ab0b/simulation.db,cross_family_main,google/gemini-2.5-flash-lite,gemini_25_flash_lite,0.0,authority_trust,400,400,400,2140,311430,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224321_e043fbf6-27eb-410c-8da7-bc0f9172ab0b/simulation.db,cross_family_main,google/gemini-2.5-flash-lite,gemini_25_flash_lite,0.0,control,400,400,400,859,352550,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224336_d71e75b1-17c5-4789-8ee7-13b29ef18359/simulation.db,cross_family_main,google/gemini-2.5-flash-lite,gemini_25_flash_lite,0.6,asch_zhu_unanimous_confident,400,400,400,2927,382121,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224336_d71e75b1-17c5-4789-8ee7-13b29ef18359/simulation.db,cross_family_main,google/gemini-2.5-flash-lite,gemini_25_flash_lite,0.6,authoritative_bias,400,400,400,2136,235023,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224336_d71e75b1-17c5-4789-8ee7-13b29ef18359/simulation.db,cross_family_main,google/gemini-2.5-flash-lite,gemini_25_flash_lite,0.6,authority_trust,400,400,400,2245,361998,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224336_d71e75b1-17c5-4789-8ee7-13b29ef18359/simulation.db,cross_family_main,google/gemini-2.5-flash-lite,gemini_25_flash_lite,0.6,control,400,400,400,890,329061,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224348_25056752-7081-449e-9a44-ad090b566107/simulation.db,cross_family_main,x-ai/grok-4.1-fast,grok_41_fast,0.0,asch_zhu_unanimous_confident,400,400,400,585,3815,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224348_25056752-7081-449e-9a44-ad090b566107/simulation.db,cross_family_main,x-ai/grok-4.1-fast,grok_41_fast,0.0,authoritative_bias,400,400,400,1093,4348,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224348_25056752-7081-449e-9a44-ad090b566107/simulation.db,cross_family_main,x-ai/grok-4.1-fast,grok_41_fast,0.0,authority_trust,400,400,400,588,4289,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224348_25056752-7081-449e-9a44-ad090b566107/simulation.db,cross_family_main,x-ai/grok-4.1-fast,grok_41_fast,0.0,control,400,400,400,437,2705,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224357_157a6a9e-13de-4bdb-bdd2-54d761498f24/simulation.db,cross_family_main,x-ai/grok-4.1-fast,grok_41_fast,0.6,asch_zhu_unanimous_confident,400,400,400,615,3992,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224357_157a6a9e-13de-4bdb-bdd2-54d761498f24/simulation.db,cross_family_main,x-ai/grok-4.1-fast,grok_41_fast,0.6,authoritative_bias,400,400,400,1127,6094,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224357_157a6a9e-13de-4bdb-bdd2-54d761498f24/simulation.db,cross_family_main,x-ai/grok-4.1-fast,grok_41_fast,0.6,authority_trust,400,400,400,577,3921,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224357_157a6a9e-13de-4bdb-bdd2-54d761498f24/simulation.db,cross_family_main,x-ai/grok-4.1-fast,grok_41_fast,0.6,control,400,400,400,463,2880,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_224413_c07ede3a-16ac-4b47-ac42-4f6ad8dd8370/simulation.db,cross_family_main,openai/gpt-4o-mini,gpt4o_mini,0.0,asch_zhu_unanimous_confident,400,400,400,97,1733,2026-03-27_openrouter_v1,openai/gpt-oss-20b
