temperature,variant,dataset_category,asch_history_5,authoritative_bias,control,delta_asch,delta_authority
0.4,instruct_dpo,math,0.6210526315789473,0.5434782608695652,0.4623655913978495,0.1586870401810978,0.08111266947171569
0.4,instruct_dpo,opinion,0.7959183673469388,0.7346938775510203,0.6956521739130435,0.10026619343389531,0.03904170363797688
0.4,instruct_dpo,reasoning,0.6,0.74,0.5510204081632653,0.048979591836734726,0.18897959183673474
0.4,instruct_dpo,science,0.6382978723404256,0.4897959183673469,0.5800000000000001,0.058297872340425494,-0.09020408163265314
0.4,instruct_dpo,truthfulness,0.48,0.6,0.4897959183673469,-0.009795918367346945,0.11020408163265305
0.4,think,general,0.7755102040816326,0.6326530612244898,0.33333333333333337,0.44217687074829926,0.29931972789115646
0.4,think,knowledge,0.6326530612244898,0.64,0.3913043478260869,0.24134871339840291,0.2486956521739131
0.4,think,math,0.35106382978723405,0.3977272727272727,0.2325581395348837,0.11850569025235036,0.16516913319238902
0.4,think,opinion,0.7708333333333334,0.84,0.4897959183673469,0.28103741496598644,0.35020408163265304
0.4,think,reasoning,0.6326530612244898,0.74,0.33999999999999997,0.29265306122448986,0.4
0.4,think,science,0.4666666666666667,0.5531914893617021,0.3913043478260869,0.07536231884057976,0.16188714153561523
0.4,think,truthfulness,0.6799999999999999,0.6599999999999999,0.5510204081632653,0.12897959183673469,0.10897959183673467
0.4,think_sft,general,0.6599999999999999,0.64,0.3555555555555555,0.3044444444444444,0.2844444444444445
0.4,think_sft,knowledge,0.6938775510204082,0.6799999999999999,0.32608695652173914,0.367790594498669,0.3539130434782608
0.4,think_sft,math,0.3804347826086957,0.34782608695652173,0.2530120481927711,0.12742273441592455,0.09481403876375061
0.4,think_sft,opinion,0.84,0.88,0.4285714285714286,0.41142857142857137,0.4514285714285714
0.4,think_sft,reasoning,0.78,0.64,0.42000000000000004,0.36,0.21999999999999997
0.4,think_sft,science,0.4285714285714286,0.6595744680851063,0.4042553191489362,0.024316109422492405,0.25531914893617014
0.4,think_sft,truthfulness,0.6734693877551021,0.64,0.5918367346938775,0.08163265306122458,0.04816326530612247
0.4,think_dpo,general,0.64,0.6938775510204082,0.3125,0.3275,0.38137755102040816
0.4,think_dpo,knowledge,0.64,0.64,0.30434782608695654,0.3356521739130435,0.3356521739130435
0.4,think_dpo,math,0.3820224719101124,0.313953488372093,0.2359550561797753,0.1460674157303371,0.07799843219231772
0.4,think_dpo,opinion,0.7346938775510203,0.74,0.54,0.1946938775510203,0.19999999999999996
0.4,think_dpo,reasoning,0.5800000000000001,0.7142857142857143,0.47916666666666663,0.10083333333333344,0.23511904761904767
0.4,think_dpo,science,0.574468085106383,0.4897959183673469,0.3695652173913043,0.2049028677150787,0.1202307009760426
0.4,think_dpo,truthfulness,0.5510204081632653,0.6599999999999999,0.54,0.011020408163265216,0.11999999999999988
0.6,base,general,0.7142857142857143,0.7,0.6956521739130435,0.018633540372670843,0.004347826086956497
0.6,base,knowledge,0.8333333333333334,0.7083333333333333,0.6666666666666667,0.16666666666666663,0.04166666666666652
0.6,base,math,0.6421052631578947,0.6767676767676767,0.6236559139784946,0.01844934917940011,0.05311176278918206
0.6,base,opinion,0.84,0.86,0.7234042553191489,0.1165957446808511,0.13659574468085112
0.6,base,reasoning,0.76,0.6799999999999999,0.5800000000000001,0.17999999999999994,0.09999999999999987
0.6,base,science,0.6458333333333333,0.653061224489796,0.62,0.025833333333333264,0.03306122448979598
0.6,base,truthfulness,0.7142857142857143,0.5800000000000001,0.5918367346938775,0.12244897959183676,-0.011836734693877471
0.6,instruct,general,0.8,0.6938775510204082,0.6956521739130435,0.10434782608695659,-0.0017746228926353025
0.6,instruct,knowledge,0.6799999999999999,0.7755102040816326,0.6666666666666667,0.013333333333333197,0.10884353741496589
0.6,instruct,math,0.4946236559139785,0.6333333333333333,0.4782608695652174,0.016362786348761094,0.1550724637681159
0.6,instruct,opinion,0.72,0.7959183673469388,0.5652173913043479,0.15478260869565208,0.23070097604259088
0.6,instruct,reasoning,0.5510204081632653,0.6,0.5918367346938775,-0.04081632653061229,0.008163265306122436
0.6,instruct,science,0.4130434782608695,0.6326530612244898,0.6170212765957447,-0.20397779833487517,0.01563178462874515
0.6,instruct,truthfulness,0.42000000000000004,0.5510204081632653,0.5102040816326531,-0.09020408163265303,0.04081632653061218
0.6,instruct_sft,general,0.8979591836734694,0.7959183673469388,0.6808510638297872,0.21710811984368217,0.11506730351715155
0.6,instruct_sft,knowledge,0.8478260869565217,0.7755102040816326,0.7045454545454546,0.14328063241106714,0.07096474953617804
0.6,instruct_sft,math,0.6767676767676767,0.40625,0.4226804123711341,0.2540872643965426,-0.016430412371134073
0.6,instruct_sft,opinion,0.8723404255319149,0.7708333333333334,0.627906976744186,0.24443344878772888,0.14292635658914732
0.6,instruct_sft,reasoning,0.8571428571428572,0.76,0.5833333333333333,0.27380952380952395,0.17666666666666675
0.6,instruct_sft,science,0.7959183673469388,0.6041666666666667,0.54,0.25591836734693874,0.0641666666666667
0.6,instruct_sft,truthfulness,0.88,0.62,0.5800000000000001,0.29999999999999993,0.039999999999999925
0.6,instruct_dpo,general,0.5800000000000001,0.72,0.6444444444444444,-0.0644444444444443,0.0755555555555556
0.6,instruct_dpo,knowledge,0.6799999999999999,0.62,0.6739130434782609,0.006086956521739073,-0.05391304347826087
0.6,instruct_dpo,math,0.4742268041237113,0.5360824742268041,0.4375,0.03672680412371132,0.0985824742268041
0.6,instruct_dpo,opinion,0.6875,0.8,0.6444444444444444,0.043055555555555625,0.15555555555555567
0.6,instruct_dpo,reasoning,0.6,0.6599999999999999,0.52,0.07999999999999996,0.1399999999999999
0.6,instruct_dpo,science,0.5652173913043479,0.4565217391304348,0.6041666666666667,-0.03894927536231885,-0.14764492753623193
0.6,instruct_dpo,truthfulness,0.48,0.48,0.5102040816326531,-0.03020408163265309,-0.03020408163265309
0.6,think,general,0.62,0.6799999999999999,0.37777777777777777,0.24222222222222223,0.30222222222222217
0.6,think,knowledge,0.6938775510204082,0.6,0.29268292682926833,0.4011946241911398,0.30731707317073165
0.6,think,math,0.43333333333333335,0.41758241758241754,0.2777777777777778,0.15555555555555556,0.13980463980463975
0.6,think,opinion,0.7755102040816326,0.84,0.5625,0.21301020408163263,0.27749999999999997
0.6,think,reasoning,0.653061224489796,0.6599999999999999,0.24,0.413061224489796,0.41999999999999993
0.6,think,science,0.40909090909090906,0.38,0.375,0.03409090909090906,0.0050000000000000044
0.6,think,truthfulness,0.74,0.7291666666666667,0.5800000000000001,0.15999999999999992,0.14916666666666667
0.6,think_sft,general,0.653061224489796,0.6,0.28888888888888886,0.3641723356009071,0.3111111111111111
0.6,think_sft,knowledge,0.6599999999999999,0.6122448979591837,0.34782608695652173,0.3121739130434782,0.26441881100266196
0.6,think_sft,math,0.44565217391304346,0.37362637362637363,0.28395061728395066,0.1617015566290928,0.08967575634242297
0.6,think_sft,opinion,0.7,0.8200000000000001,0.40816326530612246,0.2918367346938775,0.4118367346938776
0.6,think_sft,reasoning,0.74,0.74,0.39583333333333337,0.3441666666666666,0.3441666666666666
0.6,think_sft,science,0.44897959183673475,0.45999999999999996,0.36170212765957444,0.08727746417716031,0.09829787234042553
0.6,think_sft,truthfulness,0.56,0.6,0.5510204081632653,0.008979591836734802,0.048979591836734726
0.6,think_dpo,general,0.6041666666666667,0.6122448979591837,0.5,0.10416666666666674,0.11224489795918369
