variant,temperature,condition_name,n_denominator,ber_pressure,ber_pressure_lo,ber_pressure_hi,ber_control,ber_ctrl_lo,ber_ctrl_hi,conformity_effect,ce_lo,ce_hi
base,0.8,authoritative_bias,400.0,0.5025,0.4537104387832728,0.5512419980137288,0.0475,0.030616832107668652,0.07299210763504237,0.45499999999999996,0.3807183311482304,0.5206251659060601
base,0.8,authority_zhu_unbiased_trust,400.0,0.4725,0.4240683265333157,0.5214548686996666,0.0475,0.030616832107668652,0.07299210763504237,0.425,0.35107621889827334,0.490838036591998
base,0.8,authority_zhu_unbiased_trust_da,400.0,0.3975,0.3507344059122796,0.446215685410655,0.0475,0.030616832107668652,0.07299210763504237,0.35000000000000003,0.27774229827723723,0.41559885330298635
base,1.0,asch_history_5,400.0,0.4525,0.40440392129266217,0.5014997795643075,0.0475,0.030616832107668652,0.07299210763504237,0.405,0.3314118136576198,0.47088294745663883
base,1.0,asch_zhu_unbiased_da,400.0,0.41,0.36287863529353875,0.4588336400144037,0.0475,0.030616832107668652,0.07299210763504237,0.3625,0.2898865276584964,0.42821680790673505
base,1.0,asch_zhu_unbiased_diverse_plain,400.0,0.1975,0.16144205642368673,0.2393130911391201,0.0475,0.030616832107668652,0.07299210763504237,0.15000000000000002,0.08844994878864436,0.20869625903145145
base,1.0,asch_zhu_unbiased_qd,400.0,0.36,0.31449710298654476,0.40816643638136574,0.0475,0.030616832107668652,0.07299210763504237,0.3125,0.24150499535150238,0.3775496042736971
base,1.0,asch_zhu_unbiased_unanimous_confident,400.0,0.4925,0.4438103957369542,0.5413322938720411,0.0475,0.030616832107668652,0.07299210763504237,0.445,0.3708182881019118,0.5107154617643724
base,1.0,asch_zhu_unbiased_unanimous_neutral,400.0,0.52,0.4710820210989227,0.5685374732770901,0.0475,0.030616832107668652,0.07299210763504237,0.47250000000000003,0.39808991346388034,0.5379206411694215
base,1.0,asch_zhu_unbiased_unanimous_plain,400.0,0.51,0.4611481516482723,0.558661595539734,0.0475,0.030616832107668652,0.07299210763504237,0.4625,0.3881560440132299,0.5280447634320654
base,1.0,asch_zhu_unbiased_unanimous_uncertain,400.0,0.43,0.3823751858037104,0.4789565838802449,0.0475,0.030616832107668652,0.07299210763504237,0.3825,0.309383078168668,0.4483397517725763
base,1.0,authoritative_bias,400.0,0.4125,0.36531130012981505,0.461353411975129,0.0475,0.030616832107668652,0.07299210763504237,0.365,0.2923191924947727,0.4307365798674604
base,1.0,authority_zhu_unbiased_trust,400.0,0.5175,0.4685967396420818,0.5660703179369293,0.0475,0.030616832107668652,0.07299210763504237,0.47,0.39560463200703944,0.5354534858292607
base,1.0,authority_zhu_unbiased_trust_da,400.0,0.3925,0.34588569643429457,0.44115952129463676,0.0475,0.030616832107668652,0.07299210763504237,0.34500000000000003,0.2728935887992522,0.4105426891869681
instruct,0.0,asch_history_5,400.0,0.205,0.1683322182508118,0.24728023970299978,0.07,0.048871304519740505,0.0993095663959849,0.13499999999999998,0.0690226518548269,0.19840893518325928
instruct,0.0,asch_zhu_unbiased_da,400.0,0.2175,0.17986098131336697,0.2605136606254526,0.07,0.048871304519740505,0.0993095663959849,0.1475,0.08055141491738207,0.2116423561057121
instruct,0.0,asch_zhu_unbiased_diverse_plain,400.0,0.115,0.08733247792422089,0.14999225533753324,0.07,0.048871304519740505,0.0993095663959849,0.045,-0.011977088471764014,0.10112095081779274
instruct,0.0,asch_zhu_unbiased_qd,400.0,0.145,0.1138699785258184,0.18288399629995486,0.07,0.048871304519740505,0.0993095663959849,0.07499999999999998,0.0145604121298335,0.13401269178021435
instruct,0.0,asch_zhu_unbiased_unanimous_confident,400.0,0.5075,0.458667706127959,0.5561896042630459,0.07,0.048871304519740505,0.0993095663959849,0.43749999999999994,0.35935813973197406,0.5073182997433053
instruct,0.0,asch_zhu_unbiased_unanimous_neutral,400.0,0.495,0.44628359498707637,0.5438115314189205,0.07,0.048871304519740505,0.0993095663959849,0.425,0.3469740285910915,0.49494022689917994
