variant,temperature,condition_name,n_denominator,state_B_n,ber,ber_p,ber_lo,ber_hi
instruct,0.4,asch_zhu_unbiased_unanimous_confident,400.0,207.0,0.5175,0.5175,0.4685967396420818,0.5660703179369293
instruct,0.4,asch_zhu_unbiased_unanimous_neutral,400.0,194.0,0.485,0.485,0.4363980471740593,0.5338873320439311
instruct,0.4,asch_zhu_unbiased_unanimous_plain,400.0,93.0,0.2325,0.2325,0.1937657455982035,0.2763235171226257
instruct,0.4,asch_zhu_unbiased_unanimous_uncertain,400.0,140.0,0.35,0.35,0.304884853065619,0.39796893911428516
instruct,0.4,authoritative_bias,400.0,119.0,0.2975,0.2975,0.25479680042016234,0.34405581902270826
instruct,0.4,authority_zhu_unbiased_trust,400.0,113.0,0.2825,0.2825,0.24060954581038724,0.3285284528504738
instruct,0.4,authority_zhu_unbiased_trust_da,400.0,117.0,0.2925,0.2925,0.25006128808159916,0.3388864577672683
instruct,0.4,control,400.0,23.0,0.0575,0.0575,0.038617261729224514,0.08480142520149289
instruct,0.6,asch_history_5,400.0,72.0,0.18,0.18,0.1454497374118191,0.22063835257197656
instruct,0.6,asch_zhu_unbiased_da,400.0,81.0,0.2025,0.2025,0.16603317911938578,0.24462684203742427
instruct,0.6,asch_zhu_unbiased_diverse_plain,400.0,52.0,0.13,0.13,0.10053077315766948,0.16650858088609424
instruct,0.6,asch_zhu_unbiased_qd,400.0,57.0,0.1425,0.1425,0.11163780858819913,0.18016372944057255
instruct,0.6,asch_zhu_unbiased_unanimous_confident,400.0,194.0,0.485,0.485,0.4363980471740593,0.5338873320439311
instruct,0.6,asch_zhu_unbiased_unanimous_neutral,400.0,200.0,0.5,0.5,0.4512336165999552,0.5487663834000448
instruct,0.6,asch_zhu_unbiased_unanimous_plain,400.0,80.0,0.2,0.2,0.16373644787133712,0.24197113648847135
instruct,0.6,asch_zhu_unbiased_unanimous_uncertain,400.0,140.0,0.35,0.35,0.304884853065619,0.39796893911428516
instruct,0.6,authoritative_bias,400.0,111.0,0.2775,0.2775,0.23589351571381517,0.3233396093530428
instruct,0.6,authority_zhu_unbiased_trust,400.0,128.0,0.32,0.32,0.2761833561331949,0.3672411944826901
instruct,0.6,authority_zhu_unbiased_trust_da,400.0,121.0,0.3025,0.3025,0.25953861492842695,0.34921887810844693
instruct,0.6,control,400.0,27.0,0.0675,0.0675,0.046801154899328234,0.09642727921939556
instruct,0.8,asch_history_5,400.0,70.0,0.175,0.175,0.140903632613942,0.21527958377585044
instruct,0.8,asch_zhu_unbiased_da,400.0,76.0,0.19,0.19,0.15457325560638852,0.23132458156541352
instruct,0.8,asch_zhu_unbiased_diverse_plain,400.0,48.0,0.12,0.12,0.09171493428788872,0.1555146725678686
instruct,0.8,asch_zhu_unbiased_qd,400.0,59.0,0.1475,0.1475,0.1161055571050416,0.18560085451773328
instruct,0.8,asch_zhu_unbiased_unanimous_confident,400.0,192.0,0.48,0.48,0.43146252672290986,0.5289179789010773
instruct,0.8,asch_zhu_unbiased_unanimous_neutral,400.0,190.0,0.475,0.475,0.4265318481465433,0.5239437838834407
instruct,0.8,asch_zhu_unbiased_unanimous_plain,400.0,84.0,0.21,0.21,0.17293709734247628,0.2525802342053385
instruct,0.8,asch_zhu_unbiased_unanimous_uncertain,400.0,137.0,0.3425,0.3425,0.29769022933249495,0.39030625245640455
instruct,0.8,authoritative_bias,400.0,133.0,0.3325,0.3325,0.28811717839304024,0.3800695562078528
instruct,0.8,authority_zhu_unbiased_trust,400.0,123.0,0.3075,0.3075,0.2642866432019798,0.3543757234288972
instruct,0.8,authority_zhu_unbiased_trust_da,400.0,117.0,0.2925,0.2925,0.25006128808159916,0.3388864577672683
instruct,0.8,control,400.0,28.0,0.07,0.07,0.048871304519740505,0.0993095663959849
instruct,1.0,asch_history_5,400.0,81.0,0.2025,0.2025,0.16603317911938578,0.24462684203742427
instruct,1.0,asch_zhu_unbiased_da,400.0,74.0,0.185,0.185,0.15000638716506282,0.225986576412736
instruct,1.0,asch_zhu_unbiased_diverse_plain,400.0,53.0,0.1325,0.1325,0.10274473201637832,0.16924705882438698
instruct,1.0,asch_zhu_unbiased_qd,400.0,68.0,0.17,0.17,0.13636842234813634,0.20990992044765294
instruct,1.0,asch_zhu_unbiased_unanimous_confident,400.0,190.0,0.475,0.475,0.4265318481465433,0.5239437838834407
instruct,1.0,asch_zhu_unbiased_unanimous_neutral,400.0,180.0,0.45,0.45,0.40195136207927884,0.4989999019806892
instruct,1.0,asch_zhu_unbiased_unanimous_plain,400.0,91.0,0.2275,0.2275,0.1891226131151639,0.2710617760116621
instruct,1.0,asch_zhu_unbiased_unanimous_uncertain,400.0,136.0,0.34,0.34,0.2952948324121193,0.38774921257977857
instruct,1.0,authoritative_bias,400.0,120.0,0.3,0.3,0.2571669255289339,0.34663813071093835
instruct,1.0,authority_zhu_unbiased_trust,400.0,118.0,0.295,0.295,0.2524282507849876,0.3414719318608814
instruct,1.0,authority_zhu_unbiased_trust_da,400.0,124.0,0.31,0.31,0.26666296102378073,0.35695184240409794
instruct,1.0,control,400.0,23.0,0.0575,0.0575,0.038617261729224514,0.08480142520149289
instruct_dpo,0.0,asch_history_5,400.0,74.0,0.185,0.185,0.15000638716506282,0.225986576412736
instruct_dpo,0.0,asch_zhu_unbiased_da,400.0,67.0,0.1675,0.1675,0.13410501884963513,0.20722088714915257
instruct_dpo,0.0,asch_zhu_unbiased_diverse_plain,400.0,49.0,0.1225,0.1225,0.09391269296642377,0.15826935068633516
instruct_dpo,0.0,asch_zhu_unbiased_qd,400.0,49.0,0.1225,0.1225,0.09391269296642377,0.15826935068633516
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_confident,400.0,156.0,0.39,0.39,0.3434632828365625,0.4386294980953673
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_neutral,400.0,177.0,0.4425,0.4425,0.3946010465039066,0.49149290716505667
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_plain,400.0,70.0,0.175,0.175,0.140903632613942,0.21527958377585044
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_uncertain,400.0,106.0,0.265,0.265,0.22413301235879635,0.31033792872305355
instruct_dpo,0.0,authoritative_bias,400.0,129.0,0.3225,0.3225,0.27856718806945857,0.36980979934342806
instruct_dpo,0.0,authority_zhu_unbiased_trust,400.0,120.0,0.3,0.3,0.2571669255289339,0.34663813071093835
instruct_dpo,0.0,authority_zhu_unbiased_trust_da,400.0,123.0,0.3075,0.3075,0.2642866432019798,0.3543757234288972
instruct_dpo,0.0,control,400.0,26.0,0.065,0.065,0.04474017569726697,0.09353582162445521
instruct_dpo,0.2,asch_history_5,400.0,66.0,0.165,0.165,0.13184448183586026,0.2045289873659258
instruct_dpo,0.2,asch_zhu_unbiased_da,400.0,62.0,0.155,0.155,0.12283205544731421,0.19373166656646548
instruct_dpo,0.2,asch_zhu_unbiased_diverse_plain,400.0,33.0,0.0825,0.0825,0.059345516507342,0.11359753839339136
instruct_dpo,0.2,asch_zhu_unbiased_qd,400.0,45.0,0.1125,0.1125,0.0851480200886654,0.14722427637608715
instruct_dpo,0.2,asch_zhu_unbiased_unanimous_confident,400.0,153.0,0.3825,0.3825,0.3362038597931757,0.4310316107477493
instruct_dpo,0.2,asch_zhu_unbiased_unanimous_neutral,400.0,175.0,0.4375,0.4375,0.3897069912730114,0.4864820888019487
instruct_dpo,0.2,asch_zhu_unbiased_unanimous_plain,400.0,69.0,0.1725,0.1725,0.13863464284363428,0.21259613674915653
