variant,temperature,condition_name,n_denominator,n_refusal,rr_p,rr_lo,rr_hi
instruct,0.6,asch_history_5,400.0,0.0,0.0,0.0,0.009512640599680667
instruct,0.6,asch_zhu_unbiased_da,400.0,42.0,0.105,0.07862330722943671,0.138891678844311
instruct,0.6,asch_zhu_unbiased_diverse_plain,400.0,37.0,0.0925,0.06785354688500786,0.12489925520373191
instruct,0.6,asch_zhu_unbiased_qd,400.0,39.0,0.0975,0.07214471685094813,0.1305129588317948
instruct,0.6,asch_zhu_unbiased_unanimous_confident,400.0,34.0,0.085,0.061462653163424086,0.11643283853431088
instruct,0.6,asch_zhu_unbiased_unanimous_neutral,400.0,14.0,0.035,0.0209610999014911,0.05788565585621193
instruct,0.6,asch_zhu_unbiased_unanimous_plain,400.0,36.0,0.09,0.065716912967122,0.12208345232461616
instruct,0.6,asch_zhu_unbiased_unanimous_uncertain,400.0,18.0,0.045,0.028651223384090457,0.07000527956161895
instruct,0.6,authoritative_bias,400.0,5.0,0.0125,0.005350671853550634,0.02892415273113802
instruct,0.6,authority_zhu_unbiased_trust,400.0,3.0,0.0075,0.0025538429629852373,0.02181610802770022
instruct,0.6,authority_zhu_unbiased_trust_da,400.0,9.0,0.0225,0.011881448169963291,0.04220312360273175
instruct,0.6,control,400.0,12.0,0.03,0.017242849034032177,0.05169903312966765
instruct,0.8,asch_history_5,400.0,0.0,0.0,0.0,0.009512640599680667
instruct,0.8,asch_zhu_unbiased_da,400.0,46.0,0.115,0.08733247792422089,0.14999225533753324
instruct,0.8,asch_zhu_unbiased_diverse_plain,400.0,40.0,0.1,0.07429885168964503,0.13331126079009953
instruct,0.8,asch_zhu_unbiased_qd,400.0,46.0,0.115,0.08733247792422089,0.14999225533753324
instruct,0.8,asch_zhu_unbiased_unanimous_confident,400.0,40.0,0.1,0.07429885168964503,0.13331126079009953
instruct,0.8,asch_zhu_unbiased_unanimous_neutral,400.0,19.0,0.0475,0.030616832107668652,0.07299210763504237
